vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,23780,0.0003045187552771383,2584350.1514885942,1.0867746642088285e-06,5.917607966262904e-05,5.757393177115521
1,23780,0.0004320102882731339,2357755.1749027213,9.914866168640542e-07,7.577838782230108e-05,4.101796110113528
2,23780,0.0005785766547189768,3407662.981255184,1.4329953663814899e-06,0.00010781190315895415,4.166876679107997
3,23780,0.0008333655094070311,63255456.51982015,2.6600276080664487e-05,0.0009702644061699843,8.59465836546915
