peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-02-18 12:17:00,2025-02-19 17:48:00,2025-02-24 16:32:00,1795535.00420042,1280393.3544705396,-515141.6497298805
2025-02-14 13:31:00,2025-02-14 13:38:00,2025-02-14 16:54:00,1190411.3560799367,741627.9180490588,-448783.43803087797
2025-02-10 16:18:00,2025-02-12 15:10:00,2025-02-13 13:05:00,506532.097181558,172704.52519920093,-333827.57198235707
2025-02-05 17:35:00,2025-02-06 17:59:00,2025-02-10 15:23:00,456360.05317961884,155990.53503318367,-300369.51814643515
2025-02-26 13:56:00,2025-02-26 15:32:00,2025-02-28 16:10:00,2305228.463317742,2061883.975742598,-243344.48757514404
