dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,pos_dir,pos_coef,z_enter_eff,z_exit_eff,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-02-03 10:00:00,279.27,52.287,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:01:00,279.3,52.286,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:02:00,279.2,52.282,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:03:00,279.0,52.288,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:04:00,279.3,52.214,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:05:00,279.13,52.21,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:06:00,278.98,52.21,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:07:00,279.23,52.21,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:08:00,279.3,52.21,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:09:00,279.37,52.1,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:10:00,279.65,52.1,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:11:00,279.41,52.1,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:12:00,279.55,52.097,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:13:00,279.3,52.1,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:14:00,279.32,52.103,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:15:00,279.47,52.1,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:16:00,279.31,52.1,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03 10:17:00,279.2,52.085,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
