dt,z,beta,pos_dir,pos_coef,pos_change,hedge_close,sber_close,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-02-03 10:00:00,0.0,0.0,0,0.0,0.0,52.287,279.27,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:01:00,0.0,0.0,0,0.0,0.0,52.286,279.3,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:02:00,0.0,0.0,0,0.0,0.0,52.282,279.2,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:03:00,0.0,0.0,0,0.0,0.0,52.288,279.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:04:00,0.0,0.0,0,0.0,0.0,52.214,279.3,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:05:00,0.0,0.0,0,0.0,0.0,52.21,279.13,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:06:00,0.0,0.0,0,0.0,0.0,52.21,278.98,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:07:00,0.0,0.0,0,0.0,0.0,52.21,279.23,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:08:00,0.0,0.0,0,0.0,0.0,52.21,279.3,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:09:00,0.0,0.0,0,0.0,0.0,52.1,279.37,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:10:00,0.0,0.0,0,0.0,0.0,52.1,279.65,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:11:00,0.0,0.0,0,0.0,0.0,52.1,279.41,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:12:00,0.0,0.0,0,0.0,0.0,52.097,279.55,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:13:00,0.0,0.0,0,0.0,0.0,52.1,279.3,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:14:00,0.0,0.0,0,0.0,0.0,52.103,279.32,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:15:00,0.0,0.0,0,0.0,0.0,52.1,279.47,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:16:00,0.0,0.0,0,0.0,0.0,52.1,279.31,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:17:00,0.0,0.0,0,0.0,0.0,52.085,279.2,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:18:00,0.0,0.0,0,0.0,0.0,52.1,279.19,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:19:00,0.0,0.0,0,0.0,0.0,52.031,279.19,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:20:00,0.0,0.0,0,0.0,0.0,52.031,279.2,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:21:00,0.0,0.0,0,0.0,0.0,52.031,279.18,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:22:00,0.0,0.0,0,0.0,0.0,52.032,279.02,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:23:00,0.0,0.0,0,0.0,0.0,52.085,279.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:24:00,0.0,-0.26179270600145377,0,0.0,0.0,52.083,279.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-02-03 10:25:00,0.0,-0.26524400823084987,0,0.0,0.0,52.085,278.93,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
