dt,z,beta,pos_dir,pos_change,hedge_close,sber_close,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-01-03 10:00:00,0.0,0.0,0.0,0.0,106.84,279.7,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:01:00,0.0,0.0,0.0,0.0,106.84,279.85,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:02:00,0.0,0.0,0.0,0.0,106.85,280.1,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:03:00,0.0,0.0,0.0,0.0,106.85,279.9,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:04:00,0.0,0.0,0.0,0.0,106.86,279.54,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:05:00,0.0,0.0,0.0,0.0,106.87,279.44,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:06:00,0.0,0.0,0.0,0.0,106.88,278.91,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:07:00,0.0,0.0,0.0,0.0,106.88,279.07,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:08:00,0.0,0.0,0.0,0.0,106.89,278.31,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:09:00,0.0,0.0,0.0,0.0,106.89,278.4,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:10:00,0.0,0.0,0.0,0.0,106.91,278.62,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:11:00,0.0,0.0,0.0,0.0,106.91,278.93,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:12:00,0.0,0.0,0.0,0.0,106.91,278.86,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:13:00,0.0,0.0,0.0,0.0,106.91,278.73,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:14:00,0.0,0.0,0.0,0.0,106.92,278.4,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:15:00,0.0,0.0,0.0,0.0,106.92,278.4,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:16:00,0.0,0.0,0.0,0.0,106.93,278.58,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:17:00,0.0,0.0,0.0,0.0,106.93,278.65,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:18:00,0.0,0.0,0.0,0.0,106.93,278.64,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:19:00,0.0,0.0,0.0,0.0,106.94,278.31,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:20:00,0.0,0.0,0.0,0.0,106.94,278.35,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:21:00,0.0,0.0,0.0,0.0,106.94,278.39,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:22:00,0.0,0.0,0.0,0.0,106.95,278.3,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:23:00,0.0,0.0,0.0,0.0,106.95,277.81,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:24:00,0.0,-3.648562319153568,0.0,0.0,106.95,277.8,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:25:00,0.0,-2.8089112458718266,0.0,0.0,106.95,277.36,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:26:00,0.0,-2.224786118259454,0.0,0.0,106.95,277.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:27:00,0.0,-2.357188132847451,0.0,0.0,106.96,276.81,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:28:00,0.0,-2.374393804392578,0.0,0.0,106.96,276.74,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:29:00,0.0,-1.7010647603969702,0.0,0.0,106.97,276.89,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:30:00,0.0,-2.3884773702841917,0.0,0.0,106.96,277.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:31:00,0.0,-2.63922317749127,0.0,0.0,106.95,277.06,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:32:00,0.0,-2.6897637430287586,0.0,0.0,106.95,277.05,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:33:00,0.0,-2.322097222496022,0.0,0.0,106.92,277.13,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:34:00,0.0,-2.945870366386272,0.0,0.0,106.91,277.47,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:35:00,0.0,-2.9547432832529057,0.0,0.0,106.91,277.45,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:36:00,-0.1297968271448383,-2.8579429426972305,0.0,0.0,106.9,277.42,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:37:00,0.5052486504603195,-2.739641159267903,0.0,0.0,106.91,277.4,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:38:00,1.481550184454126,-2.828953743782727,0.0,0.0,106.91,277.7,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:39:00,-0.6467107970127807,-2.7837847614863866,0.0,0.0,106.91,277.48,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:40:00,-1.1126442377124843,-2.711778650177534,0.0,0.0,106.91,277.14,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:41:00,-0.6878420360696408,-2.667042591808557,0.0,0.0,106.91,276.9,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:42:00,0.019685292574811015,-2.6638111915089056,0.0,0.0,106.91,276.83,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:43:00,0.39400886518989237,-2.6810566677515295,0.0,0.0,106.91,276.85,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:44:00,0.38881437956090587,-2.697486595805802,0.0,0.0,106.91,276.87,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:45:00,-2.7160168158919715,-2.5430175744422185,1.0,1.0,106.91,276.1,45273.45164795364,-116920.77448321017,-0.0,-0.23782343987823484,-25.0,-25.237823439878234,-25.237823439878234
2025-01-03 10:46:00,-0.7603216393951953,-2.4985047332267065,1.0,0.0,106.91,275.82,45319.41121020956,-116920.77448321017,-12676.566461428358,2.613163645404544,-0.012676566461428103,-12673.965974349414,-12699.203797789292
2025-01-03 10:47:00,0.3945870929927854,-2.5158248310007876,0.0,-1.0,106.91,275.83,0.0,-0.0,453.1941121016834,2.853984747514178,-25.000453194112097,431.0476436550855,-12268.156154134207
2025-01-03 10:48:00,0.4295817476701441,-2.5344185627358686,0.0,0.0,106.91,275.85,0.0,-0.0,0.0,0.0,-0.0,0.0,-12268.156154134207
2025-01-03 10:49:00,1.2126242577559974,-2.5918032023783426,1.0,1.0,106.91,276.07,45278.3714275365,-116920.77448321017,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-12293.393977574086
2025-01-03 10:50:00,-2.37812363751745,-2.4666970331004974,1.0,0.0,106.91,275.36,45395.11911679256,-116920.77448321017,-32147.643713549987,2.6087181939771193,-0.03214764371354839,-32145.067142999724,-44438.46112057381
2025-01-03 10:51:00,0.12085596415746437,-2.469946498561453,0.0,-1.0,106.91,275.3,0.0,-0.0,-2723.7071470076567,2.853259427592007,-24.997276292852987,-2745.8511638729174,-47184.31228444673
2025-01-03 10:52:00,1.9693542526471401,-2.5662931692790507,-1.0,-1.0,106.91,275.74,-45332.55965764851,116920.77448321017,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-47209.55010788661
2025-01-03 10:53:00,0.6366972568952808,-2.59486972944129,0.0,1.0,106.91,275.83,0.0,-0.0,-4079.9303691872324,-2.854812769490682,-25.00407993036919,-4107.789261887092,-51317.3393697737
2025-01-03 10:54:00,-0.8671558296735299,-2.550754854433213,-1.0,-1.0,106.91,275.52,-45368.75725900116,116920.77448321017,-0.0,-0.23782343987823484,-25.0,-25.237823439878234,-51342.577193213576
2025-01-03 10:55:00,0.3841013187744182,-2.56625571755999,0.0,1.0,106.91,275.54,0.0,-0.0,-907.3751451817769,-2.8540884418139685,-25.000907375145182,-935.230140998736,-52277.80733421231
2025-01-03 10:56:00,0.869037088021763,-2.60362009313189,-1.0,-1.0,106.91,275.69,-45340.78131234358,116920.77448321017,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-52303.04515765219
2025-01-03 10:57:00,0.6302397423810876,-2.6294578168745275,0.0,1.0,106.91,275.78,0.0,-0.0,-4080.670318109788,-2.8548129384287924,-25.00408067031811,-4108.5292117185345,-56411.57436937072
2025-01-03 10:58:00,0.9614121427390803,-2.669339882290155,-1.0,-1.0,106.91,275.96,-45296.4197709813,116920.77448321017,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-56436.8121928106
