vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,23780,0.0003045187552771383,2713127.626409921,1.1409283542514389e-06,5.907050769564199e-05,6.055084994982626
1,23780,0.0004320102882731339,2207052.4503143225,9.281128891145179e-07,7.569699537898392e-05,3.8437464883906705
2,23780,0.0005785766547189768,3569458.293672217,1.5010337652111931e-06,9.64339112871479e-05,4.879701472201835
3,23780,0.0008333655094070311,5253483.244789306,2.209202373754965e-06,0.0001264339566475418,5.477776973299832
