peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-04-07 12:27:00,2025-04-07 17:36:00,2025-04-09 16:11:00,79709192.88635592,65574396.42602693,-14134796.460328989
2025-05-15 16:44:00,2025-05-16 16:36:00,2025-05-23 10:00:00,151868258.93995464,142040838.71350035,-9827420.226454288
2025-05-23 10:50:00,2025-06-02 13:32:00,2025-06-06 13:31:00,152367742.99525824,142886563.98785943,-9481179.007398814
2025-02-13 16:31:00,2025-02-14 13:38:00,2025-02-17 12:07:00,20307746.34217012,11029915.16454707,-9277831.177623048
2025-01-03 12:44:00,2025-01-06 10:01:00,2025-01-09 15:57:00,1949506.7149686113,-6228891.18204472,-8178397.897013332
