peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-04-28,2025-05-05,2025-05-19,1161740.806273105,391291.29039691377,-770449.5158761913
2025-05-19,2025-07-11,2025-07-18,1227333.2042400273,478387.5305334361,-748945.6737065912
2025-07-23,2025-10-07,2025-10-09,1771602.6972627686,1094318.536021017,-677284.1612417516
2025-02-13,2025-02-17,2025-03-06,17243.80192356274,-609600.0944817506,-626843.8964053134
2025-03-07,2025-03-18,2025-04-03,318478.07430446823,-44601.557631137875,-363079.6319356061
