peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-06-02 10:02:00,2025-06-06 13:29:00,2025-06-17 16:38:00,13813061.703267688,12968426.271153146,-844635.4321145415
2025-07-04 12:06:00,2025-07-15 11:04:00,2025-08-11 10:34:00,14961387.07334352,14207424.793669196,-753962.2796743233
2025-04-07 12:27:00,2025-04-07 17:36:00,2025-04-09 16:11:00,8528073.028854094,7821233.453275109,-706839.5755789857
2025-09-24 14:13:00,2025-10-09 18:22:00,,15848696.099609137,15160896.180504028,-687799.9191051088
2025-02-17 18:45:00,2025-02-18 15:16:00,2025-02-21 10:53:00,3225060.447077396,2686728.3201141856,-538332.1269632103
