vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,25691,0.0002923281135362891,855667.9742482239,3.3306137334016763e-07,2.5095034159832023e-05,4.160725371958812
1,25691,0.00039508882313067954,1168939.6741566802,4.549996785476163e-07,3.4920097688241195e-05,4.084775698935079
2,25690,0.0005076363327748002,1657893.8395705353,6.453459865981066e-07,4.3955860834863e-05,4.602654733812187
3,25691,0.0007171369853591695,3762799.0853486727,1.46463706564504e-06,6.973360133886975e-05,6.584465098019607
