vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,23780,0.0003045187552771383,2584350.1514885942,1.0867746642088285e-06,5.917607966262904e-05,5.757393177115521
1,23780,0.0004320102882731339,2502448.9860720453,1.0523334676501455e-06,7.795769258931234e-05,4.231817987589644
2,23780,0.0005785766547189768,3484078.931421038,1.4651299122880736e-06,0.00013818409680644236,3.323920627945805
3,23780,0.0008333655094070311,127057596.81857136,5.3430444414874416e-05,0.001939619771317161,8.63584339292768
