regime,minutes,pnl_sum,ret_mean,ret_std,sharpe
bear,34820,6657011.968900714,1.911835717662468e-06,0.00011132555824964753,5.383791882268205
bull,35384,3937031.660297375,1.1126587328446123e-06,8.861496213248997e-05,3.9362937311638007
sideways,24964,3268151.98671943,1.309145964877195e-06,6.914851266764692e-05,5.935233401801243
