peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-06-02 10:02:00,2025-06-06 13:29:00,2025-06-17 16:38:00,13735253.079513503,12890583.281446481,-844669.7980670221
2025-07-04 12:06:00,2025-07-15 11:04:00,2025-08-14 15:52:00,15020693.403621076,14250247.236268386,-770446.1673526894
2025-04-07 12:27:00,2025-04-07 17:36:00,2025-04-09 16:11:00,8450449.01880804,7743709.195791615,-706739.8230164256
2025-09-24 14:13:00,2025-10-09 18:22:00,,15643612.601739777,14955795.405421445,-687817.1963183321
2025-02-17 18:45:00,2025-02-18 15:16:00,2025-02-21 10:53:00,3233601.095427994,2695052.00266085,-538549.0927671441
