regime,minutes,pnl_sum,ret_mean,ret_std,sharpe
bear,34820,6638958.879889822,1.9066510281131023e-06,9.849613867641754e-05,6.068545054226225
bull,35384,4677928.693951951,1.322046318661528e-06,9.133493641190273e-05,4.537768273235152
sideways,24964,3335734.4989494705,1.3362179534327316e-06,6.723220851732069e-05,6.2306377043273224
