vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,23780,0.0003045187552771383,1253947.3071900792,5.273117355719427e-07,2.6614047364314795e-05,6.211394101809373
1,23780,0.0004320102882731339,2000790.3869956946,8.413752678703508e-07,4.8427883356470303e-05,5.4466168845183365
2,23780,0.0005785766547189768,1704399.039451615,7.167363496432358e-07,6.722763399004529e-05,3.3422903684415233
3,23780,0.0008333655094070311,2819940.708724301,1.1858455461414217e-06,9.347494330361781e-05,3.9770906525919334
