peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-04-07 12:27:00,2025-04-07 17:36:00,,8522931.813271353,7816167.3422097415,-706764.4710616115
2025-02-17 18:45:00,2025-02-18 15:16:00,2025-02-21 10:53:00,3222929.330553032,2684380.237785888,-538549.0927671441
2025-01-16 11:13:00,2025-01-23 17:37:00,2025-01-27 12:30:00,977309.5973375961,466916.87060453335,-510392.72673306277
2025-01-13 10:38:00,2025-01-14 13:50:00,2025-01-15 17:52:00,669750.3356088564,159652.67230039582,-510097.6633084606
2025-02-13 16:31:00,2025-02-14 13:38:00,2025-02-17 12:10:00,2903961.0716368784,2398895.3979108757,-505065.6737260027
