variant,pnl_total,pnl_carry,pnl_commission,max_drawdown,sharpe
with,15621968.164696781,-20067.7442474854,-1143074.9010051882,-844669.7980670221,5.567529824365588
without,15626783.102627669,-15252.806316590593,-1143074.9010051882,-844635.4321145415,5.569258068049158
delta,-4814.937930887565,-4814.937930894806,0.0,-34.36595248058438,-0.0017282436835701631
