dt,z,beta,vol_scale,z_enter_eff,z_exit_eff,pos_coef,hedge_close,sber_close,sber_qty,hedge_qty,pos_change,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-07-01 10:00:00,0.0,0.0,0.25,1.75,0.4,0.0,61.901,317.16,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:01:00,0.0,0.0,0.25,1.75,0.4,0.0,61.901,317.21,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:02:00,0.0,0.0,0.25,1.75,0.4,0.0,61.896,317.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:03:00,0.0,0.0,0.25,1.75,0.4,0.0,61.896,317.07,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:04:00,0.0,0.0,0.25,1.75,0.4,0.0,61.871,317.15,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:05:00,0.0,0.0,0.25,1.75,0.4,0.0,61.864,316.99,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:06:00,0.0,0.0,0.25,1.75,0.4,0.0,61.849,317.03,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:07:00,0.0,0.0,0.25,1.75,0.4,0.0,61.749,317.16,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:08:00,0.0,0.0,0.25,1.75,0.4,0.0,61.744,317.21,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:09:00,0.0,0.0,0.25,1.75,0.4,0.0,61.714,317.3,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:10:00,0.0,0.0,0.25,1.75,0.4,0.0,61.603,317.31,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:11:00,0.0,0.0,0.25,1.75,0.4,0.0,61.6,317.11,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:12:00,0.0,0.0,0.25,1.75,0.4,0.0,61.555,316.91,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:13:00,0.0,0.0,0.25,1.75,0.4,0.0,61.553,317.03,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:14:00,0.0,0.0,0.25,1.75,0.4,0.0,61.553,317.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:15:00,0.0,0.0,0.25,1.75,0.4,0.0,61.553,316.81,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:16:00,0.0,0.0,0.25,1.75,0.4,0.0,61.554,316.9,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:17:00,0.0,0.0,0.25,1.75,0.4,0.0,61.52,316.89,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:18:00,0.0,0.0,0.25,1.75,0.4,0.0,61.519,316.91,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:19:00,0.0,0.0,0.25,1.75,0.4,0.0,61.574,316.99,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:20:00,0.0,0.0,0.25,1.75,0.4,0.0,61.54,317.05,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:21:00,0.0,0.0,0.25,1.75,0.4,0.0,61.54,317.19,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:22:00,0.0,0.0,0.25,1.75,0.4,0.0,61.4,317.17,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:23:00,0.0,0.0,0.25,1.75,0.4,0.0,61.399,317.06,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:24:00,0.0,-0.022336328609410344,0.25,1.75,0.4,0.0,61.399,317.05,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:25:00,0.0,-0.010694243235874422,0.25,1.75,0.4,0.0,61.4,317.16,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:26:00,0.0,-0.013301771280084274,0.25,1.75,0.4,0.0,61.4,317.13,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:27:00,0.0,-0.008785684297704509,0.25,1.75,0.4,0.0,61.4,317.18,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:28:00,0.0,-0.010270295984167375,0.25,1.75,0.4,0.0,61.37,317.21,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:29:00,0.0,-0.020844599804124612,0.25,1.75,0.4,0.0,61.337,317.38,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:30:00,0.0,-0.003467214206479116,0.25,1.75,0.4,0.0,61.39,317.44,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:31:00,0.0,-0.002819266877626675,0.25,1.75,0.4,0.0,61.388,317.46,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:32:00,0.0,-0.0010974251204852205,0.25,1.75,0.4,0.0,61.328,317.46,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:33:00,0.0,-0.005572777520460512,0.25,1.75,0.4,0.0,61.377,317.45,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:34:00,0.0,-0.05252590334756983,0.25,1.75,0.4,0.0,61.302,317.7,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:35:00,0.0,-0.038873692142306154,0.25,1.75,0.4,0.0,61.366,317.75,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:36:00,0.0,-0.058314709572034044,0.25,1.75,0.4,0.0,61.388,317.58,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:37:00,0.0,-0.05286376438296012,0.25,1.75,0.4,0.0,61.387,317.73,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:38:00,0.0,-0.054533369940378544,0.25,1.75,0.4,0.0,61.387,317.7,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:39:00,0.0,-0.05830452477373655,0.25,1.75,0.4,0.0,61.388,317.62,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:40:00,0.0,-0.059358146798995856,0.25,1.75,0.4,0.0,61.388,317.6,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:41:00,0.0,-0.061644693141220105,0.25,1.75,0.4,0.0,61.387,317.54,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:42:00,0.0,-0.0628224460342363,0.25,1.75,0.4,0.0,61.386,317.51,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:43:00,0.0,-0.06032839930910618,0.25,1.75,0.4,0.0,61.384,317.6,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:44:00,0.0,-0.061488905586876835,0.25,1.75,0.4,0.0,61.383,317.57,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:45:00,0.0,-0.05898304364175049,0.25,1.75,0.4,0.0,61.387,317.63,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:46:00,0.0,-0.05629923130717218,0.25,1.75,0.4,0.0,61.384,317.75,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:47:00,0.0,-0.06614692450018193,0.25,1.75,0.4,0.0,61.324,317.85,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:48:00,0.06255805694753892,-0.0641038442805373,1.0,1.75,0.4,0.0,61.386,317.85,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:49:00,-1.1154910437617063,-0.06658195271076685,1.0,1.75,0.4,0.0,61.384,317.75,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:50:00,-0.4977920548969764,-0.06821884871156228,1.0,1.75,0.4,0.0,61.387,317.71,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2025-07-01 10:51:00,0.28708472765314186,-0.0673673393334784,1.0,1.75,0.4,0.0,61.387,317.75,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
