peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-07-17 13:55:00,2025-07-25 13:31:00,2025-07-28 15:09:00,982812.9141092207,506031.2854315774,-476781.6286776433
2025-07-04 12:00:00,2025-07-07 14:28:00,2025-07-10 15:12:00,545437.5353395187,302904.07236831123,-242533.46297120745
2025-07-28 15:09:00,2025-07-28 16:26:00,2025-07-29 16:44:00,1002714.0420958006,820269.2177857426,-182444.82431005803
2025-07-11 17:21:00,2025-07-14 15:47:00,2025-07-15 17:01:00,763200.3916215929,583778.3335691263,-179422.0580524666
2025-07-29 17:04:00,2025-07-29 18:09:00,,1013348.3066233585,863611.5871585049,-149736.71946485364
