vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,2827,0.0002704728415522173,127233.16881598404,4.50064268892763e-07,5.9780819212266755e-05,2.738372943692722
1,2827,0.0003347377148498884,532258.0018541499,1.8827661897918283e-06,4.493173700320938e-05,15.24133836278065
2,2826,0.00041218439532475265,-125358.74475255422,-4.4359074576275425e-07,8.504488758007281e-05,-1.8972046829747629
3,2827,0.0007759993756893544,239927.70131864518,8.487007475013984e-07,6.395128407752582e-05,4.827088237908382
