dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,pos_dir,pos_coef,z_enter_eff,z_exit_eff,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-07-01 10:00:00,317.16,61.901,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:01:00,317.21,61.901,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:02:00,317.0,61.896,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:03:00,317.07,61.896,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:04:00,317.15,61.871,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:05:00,316.99,61.864,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:06:00,317.03,61.849,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:07:00,317.16,61.749,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:08:00,317.21,61.744,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:09:00,317.3,61.714,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:10:00,317.31,61.603,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:11:00,317.11,61.6,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:12:00,316.91,61.555,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:13:00,317.03,61.553,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01 10:14:00,317.0,61.553,0.0,0.0,0.25,,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
