regime,minutes,pnl_sum,ret_mean,ret_std,sharpe
bear,34820,6618118.902172176,1.9006659684584071e-06,0.00010700347219270846,5.568529210228936
bull,35384,4917782.268628523,1.389832203433338e-06,9.23444452632968e-05,4.71828497176371
sideways,24964,3580781.0095222,1.4343779079963951e-06,6.898323997532026e-05,6.518573598444249
