vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,25691,0.0002923281135362891,1999731.777196425,7.783783337341582e-07,3.355965757298057e-05,7.271195001180518
1,25691,0.00039508882313067954,2157714.7720158496,8.398718508488773e-07,4.4607257938170465e-05,5.902555402410613
2,25690,0.0005076363327748002,1519836.2332011177,5.916061631767684e-07,5.5825374860780324e-05,3.322259986926489
3,25691,0.0007171369853591695,4063468.6533603626,1.5816700997860583e-06,8.790194396695958e-05,5.640920758102713
