peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-07-08 12:35:00,2025-10-07 11:07:00,,10830897.489582133,9178515.728880187,-1652381.760701945
2025-03-07 11:01:00,2025-03-10 13:12:00,2025-03-18 10:20:00,4099021.268184797,3544550.9330774,-554470.3351073968
2025-05-08 15:28:00,2025-05-16 17:03:00,2025-05-23 16:27:00,9022998.759983487,8488172.477136258,-534826.2828472294
2025-05-29 14:18:00,2025-06-06 18:00:00,2025-06-17 17:24:00,9385050.2474231,8884848.194552043,-500202.0528710559
2025-04-07 11:04:00,2025-04-07 17:36:00,2025-04-09 14:00:00,5735980.138170281,5251782.212052723,-484197.92611755803
