peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-08-06 18:10:00,2025-10-09 13:30:00,,5243837.121902165,3992716.261794488,-1251120.860107677
2025-05-08 18:25:00,2025-05-26 10:25:00,2025-07-31 18:25:00,4977723.930593251,3815356.821736519,-1162367.108856732
2025-01-10 11:45:00,2025-02-12 17:55:00,2025-02-19 10:50:00,345563.17260307237,-519135.9275577608,-864699.1001608332
2025-03-28 16:55:00,2025-04-02 11:30:00,2025-04-04 12:25:00,3061066.5739559876,2360922.2780752634,-700144.2958807242
2025-04-29 11:50:00,2025-04-30 15:05:00,2025-05-08 15:30:00,4813035.2718523415,4342670.525208566,-470364.74664377514
