vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,23780,0.0003045187552771383,10337400.605954377,4.347098656835314e-06,0.00023670431565051616,5.757393250084954
1,23780,0.0004320102882731339,8924592.235281598,3.7529824370402e-06,0.0003001991798555879,3.9192196556322396
2,23780,0.0005785766547189768,13363194.111270912,5.619509718785076e-06,0.0003830817733787423,4.5987469345800305
3,23780,0.0008333655094070311,29714326.10688992,1.2495511399028562e-05,0.0005037407639169684,7.7764164895588905
