dt,z,beta,pos_dir,pos_change,hedge_close,ofz40_close,ofz41_close,sber_close,sber_qty,ofz40_qty,ofz41_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-01-03 10:00:00,0.0,0.0,0.0,0.0,66.096,59.796,72.396,279.7,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:01:00,0.0,0.0,0.0,0.0,66.1105,59.826,72.395,279.85,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:02:00,0.0,0.0,0.0,0.0,66.0645,59.928,72.201,280.1,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:03:00,0.0,0.0,0.0,0.0,66.162,59.928,72.396,279.9,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:04:00,0.0,0.0,0.0,0.0,66.21000000000001,59.991,72.429,279.54,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:05:00,0.0,0.0,0.0,0.0,65.975,59.8,72.15,279.44,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:06:00,0.0,0.0,0.0,0.0,65.9685,59.783,72.154,278.91,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:07:00,0.0,0.0,0.0,0.0,66.0835,59.79,72.377,279.07,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:08:00,0.0,0.0,0.0,0.0,66.104,59.8,72.408,278.31,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:09:00,0.0,0.0,0.0,0.0,66.14750000000001,59.928,72.367,278.4,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:10:00,0.0,0.0,0.0,0.0,66.2,60.029,72.371,278.62,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:11:00,0.0,0.0,0.0,0.0,66.1275,60.029,72.226,278.93,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:12:00,0.0,0.0,0.0,0.0,66.4,60.432,72.368,278.86,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
