peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-09-24 12:57:00,2025-10-09 12:02:00,,12483710.728252076,11749865.938892176,-733844.7893598992
2025-04-04 14:36:00,2025-04-07 18:15:00,2025-04-09 16:22:00,6996337.390032237,6303136.465541819,-693200.9244904183
2025-03-07 10:24:00,2025-03-11 11:42:00,2025-03-17 14:49:00,4749512.903014917,4096127.6199123506,-653385.2831025664
2025-02-13 13:57:00,2025-02-14 13:43:00,2025-02-21 14:12:00,3231911.678389395,2610956.971014978,-620954.7073744172
2025-07-04 14:45:00,2025-08-11 10:07:00,2025-08-26 10:02:00,12022650.200384961,11521617.759454066,-501032.4409308955
