peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-05-14 17:25:00,2025-10-09 17:15:00,,2583552.504476083,631101.7068929321,-1952450.797583151
2025-04-04 16:30:00,2025-04-11 11:00:00,2025-05-02 14:10:00,2089937.5190698183,1334355.4620532342,-755582.0570165841
2025-01-31 14:35:00,2025-02-06 11:50:00,2025-02-13 10:00:00,359219.13610960345,-111694.83535504594,-470913.9714646494
2025-03-06 18:35:00,2025-03-13 16:25:00,2025-03-18 10:40:00,1361960.6279005914,932092.2317503531,-429868.39615023823
2025-03-31 10:05:00,2025-04-02 11:35:00,2025-04-04 16:00:00,2030140.279371533,1620978.4625097518,-409161.8168617813
