peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-04-07 12:27:00,2025-04-07 17:36:00,2025-04-09 16:11:00,19762868.90868228,16935909.616616584,-2826959.292065695
2025-05-15 16:44:00,2025-05-16 16:36:00,2025-05-23 10:00:00,35183692.35861936,33186798.578986574,-1996893.7796327882
2025-02-13 16:31:00,2025-02-14 13:38:00,2025-02-17 12:07:00,5651927.879667763,3761688.7075494034,-1890239.1721183592
2025-09-24 14:13:00,2025-10-09 18:22:00,2025-10-10 16:51:00,39612100.23031561,37767700.97339249,-1844399.2569231242
2025-05-27 10:31:00,2025-06-05 11:10:00,2025-06-09 10:09:00,35502418.3537345,33840622.513384484,-1661795.840350017
