dt,z,beta,pos_dir,pos_change,hedge_close,ofz40_close,ofz41_close,sber_close,sber_qty,ofz40_qty,ofz41_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-01-03 10:00:00,0.0,0.0,0.0,0.0,66.21000000000001,59.991,72.429,279.54,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:05:00,0.0,0.0,0.0,0.0,66.14750000000001,59.928,72.367,278.4,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:10:00,0.0,0.0,0.0,0.0,66.399,60.377,72.421,278.4,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:15:00,0.0,0.0,0.0,0.0,66.215,60.013,72.417,278.31,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:20:00,0.0,0.0,0.0,0.0,66.206,60.1,72.312,277.8,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:25:00,0.0,0.0,0.0,0.0,66.257,60.1,72.414,276.89,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:30:00,0.0,0.0,0.0,0.0,66.3885,60.367,72.41,277.47,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:35:00,0.0,0.0,0.0,0.0,66.285,60.2,72.37,277.48,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:40:00,0.0,0.0,0.0,0.0,66.2,60.1,72.3,276.87,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:45:00,0.0,0.0,0.0,0.0,66.31,60.32,72.3,276.07,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:50:00,0.0,0.0,0.0,0.0,66.31,60.32,72.3,275.74,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:55:00,0.0,0.0,0.0,0.0,66.0295,59.7,72.359,275.8,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:00:00,0.0,0.0,0.0,0.0,66.0445,59.79,72.299,275.11,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:05:00,0.0,0.0,0.0,0.0,66.014,59.779,72.249,274.68,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:10:00,0.0,0.0,0.0,0.0,65.865,59.65,72.08,275.02,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:15:00,0.0,0.0,0.0,0.0,65.8845,59.602,72.167,275.15,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:20:00,0.0,0.0,0.0,0.0,65.84100000000001,59.512,72.17,275.27,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:25:00,0.0,0.0,0.0,0.0,65.8315,59.563,72.1,275.22,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:30:00,0.0,0.0,0.0,0.0,65.881,59.494,72.268,274.9,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:35:00,0.0,0.0,0.0,0.0,65.83,59.46,72.2,275.75,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:40:00,0.0,0.0,0.0,0.0,65.798,59.464,72.132,275.4,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:45:00,0.0,0.0,0.0,0.0,65.8925,59.529,72.256,275.59,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:50:00,0.0,0.0,0.0,0.0,65.8695,59.539,72.2,275.38,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 11:55:00,0.0,0.0,0.0,0.0,65.89699999999999,59.536,72.258,275.13,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:00:00,0.0,-0.08181769267588099,0.0,0.0,65.81899999999999,59.425,72.213,275.22,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:05:00,0.0,-0.0868428416075789,0.0,0.0,65.813,59.489,72.137,274.46,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:10:00,0.0,-0.07983558869185896,0.0,0.0,65.82000000000001,59.523,72.117,274.61,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:15:00,0.0,-0.11262753046531672,0.0,0.0,65.6485,59.17,72.127,274.74,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:20:00,0.0,-0.11142086101732761,0.0,0.0,65.638,59.186,72.09,274.71,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:25:00,0.0,-0.1395865143435631,0.0,0.0,65.6775,59.18,72.175,273.91,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:30:00,0.0,-0.1470348927724656,0.0,0.0,65.5715,59.18,71.963,273.88,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:35:00,0.0,-0.13447589093632734,0.0,0.0,65.598,59.184,72.012,274.01,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:40:00,0.0,-0.07706005898521519,0.0,0.0,65.417,58.901,71.933,273.42,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:45:00,0.0,-0.0029920710081183474,0.0,0.0,65.646,59.152,72.14,273.64,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:50:00,0.0,-0.005435222549774142,0.0,0.0,65.5935,59.0,72.187,273.58,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 12:55:00,0.0,0.024148190385701575,0.0,0.0,65.68350000000001,59.196,72.171,273.88,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 13:00:00,0.5833011942233699,0.02648617872632702,0.0,0.0,65.685,59.19,72.18,273.97,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 13:05:00,-0.6486455774138107,0.023921880504334712,0.0,0.0,65.686,59.193,72.179,273.53,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
