dividend_yield_annual,pnl_total,pnl_carry,pnl_commission,max_drawdown,sharpe
0.0,15626783.102627669,-15252.806316590593,-1143074.9010051882,-844635.4321145415,5.569258068049158
0.06,15624375.633662228,-17660.275282038,-1143074.9010051882,-844652.6150907595,5.568393989951513
0.09,15623171.899179505,-18864.0097647617,-1143074.9010051882,-844661.2065789178,5.567961918091947
0.12,15621968.164696781,-20067.7442474854,-1143074.9010051882,-844669.7980670221,5.567529824365588
0.15,15620764.430214057,-21271.478730209106,-1143074.9010051882,-844678.3895551693,5.567097708777706
