dt,z,beta,pos_dir,pos_change,sber_close,ofz_close,sber_qty,ofz_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-01-03 10:00:00,0.0,0.0,0.0,0.0,279.7,59.796,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:01:00,0.0,0.0,0.0,0.0,279.85,59.826,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:02:00,0.0,0.0,0.0,0.0,280.1,59.928,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:03:00,0.0,0.0,0.0,0.0,279.9,59.928,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:04:00,0.0,0.0,0.0,0.0,279.54,59.991,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:05:00,0.0,0.0,0.0,0.0,279.44,59.8,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:06:00,0.0,0.0,0.0,0.0,278.91,59.783,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:07:00,0.0,0.0,0.0,0.0,279.07,59.79,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:08:00,0.0,0.0,0.0,0.0,278.31,59.8,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:09:00,0.0,0.0,0.0,0.0,278.4,59.928,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:10:00,0.0,0.0,0.0,0.0,278.62,60.029,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:11:00,0.0,0.0,0.0,0.0,278.93,60.029,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:12:00,0.0,0.0,0.0,0.0,278.86,60.432,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:13:00,0.0,0.0,0.0,0.0,278.73,60.413,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:14:00,0.0,0.0,0.0,0.0,278.4,60.377,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:15:00,0.0,0.0,0.0,0.0,278.4,60.024,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:16:00,0.0,0.0,0.0,0.0,278.58,59.928,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:17:00,0.0,0.0,0.0,0.0,278.65,60.334,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:18:00,0.0,0.0,0.0,0.0,278.64,60.328,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:19:00,0.0,0.0,0.0,0.0,278.31,60.013,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:20:00,0.0,0.0,0.0,0.0,278.35,60.038,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:21:00,0.0,0.0,0.0,0.0,278.39,60.4,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:22:00,0.0,0.0,0.0,0.0,278.3,60.399,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:23:00,0.0,0.0,0.0,0.0,277.81,60.076,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:24:00,0.0,0.0893501702614012,0.0,0.0,277.8,60.1,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:25:00,0.0,0.09045145486239504,0.0,0.0,277.36,60.1,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:26:00,0.0,0.06658873213097892,0.0,0.0,277.0,60.395,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:27:00,0.0,0.06731324101092113,0.0,0.0,276.81,60.373,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:28:00,0.0,0.06735301604118003,0.0,0.0,276.74,60.4,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:29:00,0.0,0.04469143474414991,0.0,0.0,276.89,60.1,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:30:00,0.0,0.04585806414188227,0.0,0.0,277.0,60.14,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:31:00,0.0,0.04423824558992745,0.0,0.0,277.06,60.101,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2025-01-03 10:32:00,0.0,0.04408306035901615,0.0,0.0,277.05,60.101,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
