dt,sber_close,ofz40_close,ofz41_close,hedge_close,beta,z,vol_scale,spread_vol,regime,pos_dir,pos_change,sber_qty,ofz40_qty,ofz41_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-01-03 10:00:00,279.7,59.796,72.396,66.096,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:01:00,279.85,59.826,72.395,66.1105,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:02:00,280.1,59.928,72.201,66.0645,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:03:00,279.9,59.928,72.396,66.162,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:04:00,279.54,59.991,72.429,66.21000000000001,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:05:00,279.44,59.8,72.15,65.975,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:06:00,278.91,59.783,72.154,65.9685,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:07:00,279.07,59.79,72.377,66.0835,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:08:00,278.31,59.8,72.408,66.104,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:09:00,278.4,59.928,72.367,66.14750000000001,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:10:00,278.62,60.029,72.371,66.2,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:11:00,278.93,60.029,72.226,66.1275,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:12:00,278.86,60.432,72.368,66.4,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:13:00,278.73,60.413,72.431,66.422,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:14:00,278.4,60.377,72.421,66.399,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:15:00,278.4,60.024,72.419,66.22149999999999,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:16:00,278.58,59.928,72.43,66.179,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:17:00,278.65,60.334,72.419,66.3765,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:18:00,278.64,60.328,72.417,66.3725,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:19:00,278.31,60.013,72.417,66.215,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:20:00,278.35,60.038,72.417,66.22749999999999,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:21:00,278.39,60.4,72.409,66.4045,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:22:00,278.3,60.399,72.3,66.3495,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:23:00,277.81,60.076,72.305,66.1905,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:24:00,277.8,60.1,72.312,66.206,0.08749902379834802,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:25:00,277.36,60.1,72.414,66.257,0.07523680442474,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:26:00,277.0,60.395,72.399,66.397,0.04774106761203401,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:27:00,276.81,60.373,72.33,66.3515,0.050593656458493064,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:28:00,276.74,60.4,72.397,66.3985,0.05129659671309585,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:29:00,276.89,60.1,72.414,66.257,0.024060818174498306,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:30:00,277.0,60.14,72.412,66.27600000000001,0.025763833511704016,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:31:00,277.06,60.101,72.367,66.23400000000001,0.021158248932435838,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:32:00,277.05,60.101,72.41,66.2555,0.021926530364308548,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:33:00,277.13,60.3,72.411,66.3555,0.03076120556465773,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:34:00,277.47,60.367,72.41,66.3885,0.03702869075048006,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:36:00,277.42,60.319,72.371,66.345,0.036299576786315894,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:37:00,277.4,60.249,72.371,66.31,0.03500774342174411,0.20073538456582915,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:38:00,277.7,60.2,72.344,66.27199999999999,0.025296718139347908,1.4236974916930403,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:39:00,277.48,60.2,72.37,66.285,0.02448404657771364,-0.647791755192105,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:40:00,277.14,60.181,72.302,66.2415,0.03246419202671371,-1.0686468358882895,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:41:00,276.9,60.181,72.365,66.273,0.029528802397014317,-0.6967612774788162,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:42:00,276.83,60.2,72.3,66.25,0.029481109818881697,0.013139383819302113,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:43:00,276.85,60.18,72.299,66.2395,0.028704335352936174,0.36821264438325313,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:44:00,276.87,60.1,72.3,66.2,0.02635138976202832,0.3758396707543731,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:45:00,276.1,60.2,72.3,66.25,0.006497646513509418,-2.651231391109206,0.25,,sideways,1.0,1.0,45273.45164795364,-103820.59800664452,-86445.36652835409,-0.0,-0.23782343987823484,-25.0,-25.237823439878234,-25.237823439878234,0.0,-25.237823439878234,-2.5237823439878236e-07
2025-01-03 10:46:00,275.82,60.319,72.3,66.3095,-6.515404915911919e-05,-0.7508203331189405,0.25,,sideways,1.0,0.0,45319.41121020956,-103615.77612360947,-86445.36652835409,-25031.217624219033,2.613163645404544,-0.02503121762421943,-25028.629491791253,-25053.86731523113,0.0,-25053.86731523113,-0.00025028629491791253
2025-01-03 10:47:00,275.83,60.32,72.3,66.31,-0.00030685742320106307,0.3684573790861854,0.25,,sideways,0.0,-1.0,0.0,-0.0,-0.0,349.5783359783154,2.853984747514178,-25.000556809888224,327.43176391594136,-24726.43555131519,0.0,-24726.43555131519,3.2743176391594136e-06
2025-01-03 10:48:00,275.85,60.319,72.3,66.3095,-0.0006236376290251931,0.40254161348667433,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-24726.43555131519,0.0,-24726.43555131519,0.0
2025-01-03 10:49:00,276.07,60.32,72.3,66.31,-0.0013503939997017874,1.1632357007469052,0.25,0.0009211757002080027,sideways,1.0,1.0,45278.3714275365,-103614.05835543766,-86445.36652835409,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-24751.673374755068,0.0,-24751.673374755068,-2.5237823439878236e-07
2025-01-03 10:50:00,275.36,60.319,72.3,66.3095,0.000521451438563349,-2.3256006568500758,0.25,0.0009678850612576898,sideways,1.0,0.0,45395.11911679256,-103615.77612360947,-86445.36652835409,-32044.02965519479,2.6087181939771193,-0.032251257771903324,-32041.453188258587,-56793.126563013655,0.0,-56793.126563013655,-0.00032041453188258587
2025-01-03 10:51:00,275.3,60.32,72.3,66.31,0.0004574064532968318,0.1053293777151249,0.25,0.0009582658147734347,sideways,0.0,-1.0,0.0,-0.0,-0.0,-2827.3229231310247,2.853259427592007,-24.997379908629114,-2849.467043612062,-59642.59360662572,0.0,-59642.59360662572,-2.849467043612062e-05
2025-01-03 10:52:00,275.74,60.32,72.3,66.31,-0.0008907951368148124,1.9074403380340512,0.25,0.0009853519256025139,sideways,-1.0,-1.0,-45332.55965764851,103614.05835543766,86445.36652835409,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-59667.8314300656,0.0,-59667.8314300656,-2.5237823439878236e-07
2025-01-03 10:55:00,275.54,59.95,72.271,66.1105,0.0125654793680642,-0.40766290174076436,0.25,0.0009774252164768005,sideways,0.0,1.0,0.0,-0.0,-0.0,-31777.605289304436,-2.85181129864577,-24.950089370847643,-31805.40718997393,-91473.23862003953,0.0,-91473.23862003953,-0.00031805407189973927
2025-01-03 10:56:00,275.69,59.899,72.362,66.1305,0.014966370484239062,0.8343783493693158,0.25,0.0009747070941873297,sideways,-1.0,-1.0,-45340.78131234358,104342.3095544166,86371.29985351428,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-91498.4764434794,0.0,-91498.4764434794,-2.5237823439878236e-07
2025-01-03 10:58:00,275.96,59.798,72.359,66.07849999999999,0.005207148824005074,1.2582658917284444,0.25,0.0009803942019738134,sideways,-1.0,0.0,-45296.4197709813,104518.54577076156,86374.8808026645,-23039.69811888848,-3.0944996980869868,-0.02303969811888978,-23042.815658284686,-114541.29210176409,0.0,-114541.29210176409,-0.00023042815658284686
2025-01-03 10:59:00,275.8,59.7,72.359,66.0295,0.007534444063303528,-0.32720289381898726,0.25,0.0009724050781498609,sideways,0.0,1.0,0.0,-0.0,-0.0,-2995.3903221789597,-2.8522266148028863,-24.982509755351106,-3023.225058549114,-117564.5171603132,0.0,-117564.5171603132,-3.0232250585491137e-05
2025-01-03 11:00:00,275.48,59.576,72.354,65.965,0.01577558682878737,-0.8991601233080045,0.25,0.0009708458167969938,sideways,-1.0,-1.0,-45375.344852620874,104908.0166510004,86380.84971114244,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-117589.75498375308,0.0,-117589.75498375308,-2.5237823439878236e-07
2025-01-03 11:02:00,275.46,59.797,72.306,66.0515,0.01801712134425733,0.17930835734727504,0.25,0.0009625683035430288,sideways,0.0,1.0,0.0,-0.0,-0.0,19945.897790789906,-2.8536740851833207,-25.01813088399668,19918.025985820725,-97671.72899793235,0.0,-97671.72899793235,0.00019918025985820725
2025-01-03 11:03:00,275.15,59.617,72.328,65.9725,0.027220447262924205,-0.8433313228334196,0.25,0.0009602436640393427,sideways,-1.0,-1.0,-45429.7655824096,104835.86896355067,86411.90133834752,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-97696.96682137223,0.0,-97696.96682137223,-2.5237823439878236e-07
