peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-05-29 18:34:00,2025-06-10 18:38:00,2025-09-03 10:17:00,5368079.484131348,4361057.829514323,-1007021.6546170255
2025-01-13 10:01:00,2025-01-16 10:00:00,2025-02-03 13:04:00,249197.2899718118,-508535.604412444,-757732.8943842559
2025-03-07 11:11:00,2025-03-11 15:53:00,2025-03-19 11:30:00,1277015.2489457116,583582.1042747342,-693433.1446709775
2025-02-14 13:31:00,2025-02-18 16:49:00,2025-03-06 10:19:00,1217131.176157624,655110.2907675667,-562020.8853900573
2025-05-16 15:36:00,2025-05-23 14:57:00,2025-05-28 16:35:00,5263031.810770929,4775600.698309959,-487431.11246096995
