regime,minutes,pnl_sum,ret_mean,ret_std,sharpe
bear,34820,7066325.731399691,2.0293870566914678e-06,0.00010273072535825777,6.192943323654991
bull,35384,5023147.72333055,1.4196099150267211e-06,9.615062983127031e-05,4.628598011461277
sideways,24964,3532494.7099665394,1.4150355351572426e-06,6.888230712939407e-05,6.440094428467796
