peak_time,trough_time,recovery_time,peak_val,trough_val,depth
2025-05-08 11:05:00,2025-10-09 14:20:00,,3227163.036770217,332674.27753683564,-2894488.7592333816
2025-01-06 17:15:00,2025-01-20 18:00:00,2025-02-18 13:05:00,274663.896847073,-798836.7051426475,-1073500.6019897205
2025-03-31 10:20:00,2025-04-02 12:45:00,2025-04-09 10:00:00,2641987.287907093,1732893.7244467624,-909093.5634603305
2025-04-10 10:00:00,2025-04-21 16:50:00,2025-04-29 10:40:00,2943044.245360378,2295411.3638373544,-647632.8815230238
2025-03-06 16:35:00,2025-03-07 17:25:00,2025-03-11 10:00:00,1861126.1189055392,1419251.304663462,-441874.81424207706
