regime,minutes,pnl_sum,ret_mean,ret_std,sharpe
bear,8897,3980051.879467323,4.473476317261237e-06,0.00016487075096645575,8.506170827778746
bull,9152,1403057.199162905,1.5330607508335936e-06,0.00015808964824881252,3.0401044550636946
sideways,2212,-726257.8450772137,-3.2832633140922856e-06,0.00012410567029928163,-8.293668326136673
