vol_bucket,minutes,spread_vol_med,pnl_sum,ret_mean,ret_std,sharpe
0,5133,0.0007379696792545661,625707.9675796393,1.2189907804006223e-06,8.563326936399165e-05,4.4626257773409455
1,5132,0.001100449221644146,-173500.49632872193,-3.380757917551097e-07,0.00011544611908266209,-0.9180520606479199
2,5132,0.001296391638079179,2926762.138178791,5.702965974627419e-06,0.00012484772512771154,14.320319941038507
3,5132,0.0017546608163411818,1316179.8998890487,2.564652961592066e-06,0.00016114941557201145,4.98921759816781
